Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),DATE,MAX_TEMPERATURE_C,MIN_TEMPERATURE_C,WINDSPEED_MAX_KMH,TEMPERATURE_MORNING_C,TEMPERATURE_NOON_C,TEMPERATURE_EVENING_C,PRECIP_TOTAL_DAY_MM,HUMIDITY_MAX_PERCENT,VISIBILITY_AVG_KM,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,HEATINDEX_MAX_C,DEWPOINT_MAX_C,WINDTEMP_MAX_C,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,TOTAL_SNOW_MM,UV_INDEX,SUNHOUR,TEMPERATURE_NIGHT_C,Rain,Season-modified,Day_type_mod
2022-04-01,24,Spring,période 21,Normal Day,30265.679008,2022-04-01,3.5,0.3333333333333333,37.5,0.3333333333333333,2.833333333333333,2.1666666666666665,2.25,94.5,3.6666666666666665,1009.5,92.41666666666669,3.5,1.5,-5.833333333333333,190.5,235.5,300.5,0.4666666666666666,1.0,6.466666666666666,1.0,Rain,1,0
2022-04-02,24,Spring,période 21,Week-end,32306.580289,2022-04-02,3.6666666666666665,-0.1666666666666666,26.0,0.0,2.333333333333333,3.333333333333333,0.75,94.66666666666669,7.416666666666667,1019.0,95.25,3.6666666666666665,0.6666666666666666,-5.833333333333333,330.0,369.0,328.0,0.5666666666666667,1.0,6.7,0.1666666666666666,Rain,1,1
2022-04-03,24,Spring,période 21,Week-end,32074.36043,2022-04-03,8.166666666666666,-0.6666666666666666,22.666666666666668,-0.1666666666666666,6.666666666666667,7.5,0.0,80.0,10.0,1022.8333333333334,65.66666666666667,8.166666666666666,0.0,-4.833333333333333,120.5,120.5,115.5,0.0,2.5,8.633333333333333,-0.5,No rain,1,1
2022-04-04,24,Spring,période 21,Normal Day,30445.11287,2022-04-04,10.833333333333334,-2.0,17.0,-2.0,9.0,9.833333333333334,0.0,83.83333333333333,10.0,1024.8333333333333,35.791666666666664,10.833333333333334,2.1666666666666665,-3.1666666666666665,114.5,115.5,117.0,0.0,3.0,10.533333333333331,-1.1666666666666667,No rain,1,0
2022-04-05,24,Spring,période 21,Normal Day,27201.091772,2022-04-05,11.166666666666666,5.0,17.666666666666668,5.333333333333333,8.5,10.666666666666666,0.0333333333333333,93.0,10.0,1018.0,95.47916666666669,11.166666666666666,8.833333333333334,2.1666666666666665,122.0,122.0,129.0,0.0,2.1666666666666665,6.716666666666666,5.166666666666667,Rain,1,0
2022-04-06,24,Spring,période 21,Normal Day,25592.111457,2022-04-06,11.833333333333334,6.333333333333333,26.5,6.5,10.5,11.666666666666666,0.0166666666666666,96.33333333333331,8.583333333333334,1013.0,91.20833333333331,11.833333333333334,8.166666666666666,4.0,145.5,122.0,130.5,0.0,2.1666666666666665,6.733333333333333,7.333333333333333,Rain,1,0
2022-04-07,24,Spring,période 21,Normal Day,24289.648419,2022-04-07,11.666666666666666,9.166666666666666,38.333333333333336,10.0,11.5,11.0,6.033333333333334,93.66666666666669,8.729166666666666,1006.3333333333334,99.70833333333331,11.666666666666666,10.5,6.0,140.0,309.5,296.0,0.0,2.833333333333333,6.583333333333333,9.5,Rain,1,0
2022-04-08,24,Spring,période 21,Normal Day,24619.045325,2022-04-08,12.166666666666666,4.666666666666667,42.66666666666666,7.833333333333333,10.166666666666666,9.333333333333334,5.9,96.5,7.833333333333333,1006.6666666666666,98.64583333333331,12.166666666666666,9.0,5.0,265.5,296.0,291.5,0.3166666666666666,2.5,6.599999999999999,8.5,Rain,1,0
2022-04-09,24,Spring,période 1,Week-end,25754.610682,2022-04-09,11.5,1.8333333333333333,21.166666666666668,2.0,9.666666666666666,10.666666666666666,0.7999999999999999,95.0,9.833333333333334,1021.8333333333334,50.35416666666666,11.5,2.6666666666666665,-2.333333333333333,179.5,144.5,124.5,0.0,2.0,10.133333333333333,2.6666666666666665,Rain,1,1
2022-04-10,24,Spring,période 1,Week-end,25113.662634,2022-04-10,14.333333333333334,0.6666666666666666,12.666666666666666,0.6666666666666666,12.0,12.0,0.0,85.66666666666667,10.0,1021.8333333333334,14.895833333333334,14.333333333333334,4.666666666666667,-1.6666666666666667,114.0,113.0,114.0,0.0,2.833333333333333,11.6,1.5,No rain,1,1
