Date,Code région,Season,Période,Day_type,Total énergie soutirée (MWh),Conso_1pt (KWh),Région
2022-04-01,24,Spring,période 21,Normal Day,30265.679008,415.42960130837787,Centre-Val de Loire
2022-04-01,32,Spring,période 21,Normal Day,54847.441743,472.5846365742267,Hauts-de-France
2022-04-02,24,Spring,période 21,Week-end,32306.580289,413.7339831072279,Centre-Val de Loire
2022-04-02,32,Spring,période 21,Week-end,58278.870062,465.3057835688398,Hauts-de-France
2022-04-03,24,Spring,période 21,Week-end,32074.36043,408.11983653385084,Centre-Val de Loire
2022-04-03,32,Spring,période 21,Week-end,57903.329825,463.98285116424313,Hauts-de-France
2022-04-04,24,Spring,période 21,Normal Day,30445.11287,406.79097419235853,Centre-Val de Loire
2022-04-04,32,Spring,période 21,Normal Day,55265.436527,460.39244508342506,Hauts-de-France
2022-04-05,24,Spring,période 21,Normal Day,27201.091772,390.09584668011786,Centre-Val de Loire
2022-04-05,32,Spring,période 21,Normal Day,49762.678891,445.53958977041566,Hauts-de-France
2022-04-06,24,Spring,période 21,Normal Day,25592.111457,372.8434505385779,Centre-Val de Loire
2022-04-06,32,Spring,période 21,Normal Day,47130.099537,427.5689336959639,Hauts-de-France
2022-04-07,24,Spring,période 21,Normal Day,24289.648419,366.5555526042579,Centre-Val de Loire
2022-04-07,32,Spring,période 21,Normal Day,44902.86264,420.288648523069,Hauts-de-France
2022-04-08,24,Spring,période 21,Normal Day,24619.045325,368.2120421716264,Centre-Val de Loire
2022-04-08,32,Spring,période 21,Normal Day,45619.544553,423.23775800860625,Hauts-de-France
2022-04-09,24,Spring,période 1,Week-end,25754.610682,361.4217865913598,Centre-Val de Loire
2022-04-09,32,Spring,période 1,Week-end,47552.590289,411.8532859291306,Hauts-de-France
2022-04-10,24,Spring,période 1,Week-end,25113.662634,353.3629582768277,Centre-Val de Loire
2022-04-10,32,Spring,période 1,Week-end,46364.882647,407.5482952836715,Hauts-de-France
2022-04-11,24,Spring,période 1,School Holidays,22476.943718,339.50128230922365,Centre-Val de Loire
2022-04-11,32,Spring,période 1,School Holidays,41888.174266,389.15773610837067,Hauts-de-France
2022-04-12,24,Spring,période 1,School Holidays,20162.565951,325.8933258185748,Centre-Val de Loire
2022-04-12,32,Spring,période 1,School Holidays,37970.489629,375.077687109698,Hauts-de-France
2022-04-13,24,Spring,période 1,School Holidays,19578.681689,320.6161586604781,Centre-Val de Loire
2022-04-13,32,Spring,période 1,School Holidays,37007.283544,369.58155180840316,Hauts-de-France
2022-04-14,24,Spring,période 1,School Holidays,18293.284455,310.7348493149194,Centre-Val de Loire
2022-04-14,32,Spring,période 1,School Holidays,34761.946222,360.2506605957792,Hauts-de-France
2022-04-15,24,Spring,période 1,School Holidays,17268.472009,301.9745486623244,Centre-Val de Loire
2022-04-15,32,Spring,période 1,School Holidays,33061.440159,351.0571162973153,Hauts-de-France
2022-04-16,24,Spring,période 1,Week-end,16784.501825,284.5372161318512,Centre-Val de Loire
2022-04-16,32,Spring,période 1,Week-end,32228.286906,328.9468947263921,Hauts-de-France
2022-04-17,24,Spring,période 1,Week-end,16566.951817,279.27723343966915,Centre-Val de Loire
2022-04-17,32,Spring,période 1,Week-end,31736.418478,326.032361636113,Hauts-de-France
2022-04-18,24,Spring,période 1,National Holidays,16793.780319,286.1087866735878,Centre-Val de Loire
2022-04-18,32,Spring,période 1,National Holidays,32231.448204,329.3860303009282,Hauts-de-France
2022-04-19,24,Spring,période 1,School Holidays,17579.061718,305.3770580432304,Centre-Val de Loire
2022-04-19,32,Spring,période 1,School Holidays,33736.324646,350.6463465957445,Hauts-de-France
2022-04-20,24,Spring,période 1,School Holidays,18187.423061,309.7989631928649,Centre-Val de Loire
2022-04-20,32,Spring,période 1,School Holidays,34860.329249,354.232389625719,Hauts-de-France
2022-04-21,24,Spring,période 1,School Holidays,17955.220422,311.88857591693295,Centre-Val de Loire
2022-04-21,32,Spring,période 1,School Holidays,34475.540801,355.35981516702753,Hauts-de-France
2022-04-22,24,Spring,période 1,School Holidays,17418.745873,307.7190358666582,Centre-Val de Loire
2022-04-22,32,Spring,période 1,School Holidays,33567.523071,350.13207475865147,Hauts-de-France
2022-04-23,24,Spring,période 1,Week-end,17978.954855,298.31981440192544,Centre-Val de Loire
2022-04-23,32,Spring,période 1,Week-end,34674.057339,338.2150319802743,Hauts-de-France
2022-04-24,24,Spring,période 1,Week-end,18389.785953,298.0226293343144,Centre-Val de Loire
2022-04-24,32,Spring,période 1,Week-end,35436.636887,339.2729679063582,Hauts-de-France
2022-04-25,24,Spring,période 22,Normal Day,18128.989693,308.27783682273036,Centre-Val de Loire
2022-04-25,32,Spring,période 22,Normal Day,35000.940732,348.06109637844924,Hauts-de-France
2022-04-26,24,Spring,période 22,Normal Day,17870.073887,316.2272986317874,Centre-Val de Loire
2022-04-26,32,Spring,période 22,Normal Day,34533.280758,356.35916605970596,Hauts-de-France
2022-04-27,24,Spring,période 22,Normal Day,17535.103466,314.81049237527054,Centre-Val de Loire
2022-04-27,32,Spring,période 22,Normal Day,34033.782404,353.1041069860734,Hauts-de-France
